smiles,index,value,processed_strings
*CC(*)C,0,0.4343,CCC(C)C
*CC(*)F,1,0.874,CCC(C)F
*CC(*)(F)F,2,1.1415,CCC(C)(F)F
*C(F)C(*)(F)F,3,1.524,CC(F)C(C)(F)F
*CCC(F)(F)C(*)(F)F,4,0.4489,CCCC(F)(F)C(C)(F)F
*CC(F)(F)C(F)(F)C*,4,0.4489,CCC(F)(F)C(F)(F)CC
*C(F)(F)CCC(*)(F)F,4,0.4489,CC(F)(F)CCC(C)(F)F
*CO*,5,0.9897,COCO
*CCO*,6,0.3936,COCCO
*COC*,6,0.3936,CCOCC
*CC(O*)C(F)(F)F,7,0.7546,COC(CO)C(F)(F)F
*COC(*)C(F)(F)F,7,0.7546,CCOC(C)C(F)(F)F
*OCC(*)C(F)(F)F,7,0.7546,COCC(O)C(F)(F)F
*CCCO*,8,0.5672,COCCCO
*CCOC*,8,0.5672,CCCOCC
*Oc1ccc(Cc2ccc(*)cc2)cc1,9,1.1795,COc1ccc(Cc2ccc(O)cc2)cc1
*Cc1ccc(Oc2ccc(*)cc2)cc1,9,1.1795,CCc1ccc(Oc2ccc(C)cc2)cc1
*CCCCCOCO*,10,0.5413,COCOCCCCCO
*CCCCOCOC*,10,0.5413,CCCCCOCOCC
*CCCOCOCC*,10,0.5413,CCCCOCOCCC
*COCCCCCO*,10,0.5413,COCCCCCOCO
*CCOC(=O)NCCOCCOCCNC(=O)O*,11,0.573,COC(=O)NCCOCCOCCNC(=O)OCCO
*COC(=O)NCCOCCOCCNC(=O)OC*,11,0.573,CCOC(=O)NCCOCCOCCNC(=O)OCC
*OCCOC(=O)NCCOCCOCCNC(*)=O,11,0.573,COCCOC(=O)NCCOCCOCCNC(=O)O
*NCCOCCOCCNC(=O)OCCOC(*)=O,11,0.573,CNCCOCCOCCNC(=O)OCCOC(N)=O
*CCOCCOCCNC(=O)OCCOC(=O)N*,11,0.573,CNC(=O)OCCOC(=O)NCCOCCOCCN
*CNC(=O)OCCOC(=O)NCCOCCOC*,11,0.573,CCNC(=O)OCCOC(=O)NCCOCCOCC
*CCNC(=O)OCCOC(=O)NCCOCCO*,11,0.573,COCCOCCNC(=O)OCCOC(=O)NCCO
*CCOCCNC(=O)OCCOC(=O)NCCO*,11,0.573,COCCNC(=O)OCCOC(=O)NCCOCCO
*COCCNC(=O)OCCOC(=O)NCCOC*,11,0.573,CCOCCNC(=O)OCCOC(=O)NCCOCC
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,12,3.0398,Cc1ccc(-c2nc3cc4nc(C)oc4cc3o2)cc1
*CCCCCS*,13,0.5118,CSCCCCCS
*CCCCSC*,13,0.5118,CCCCCSCC
*CCCSCC*,13,0.5118,CCCCSCCC
*Sc1ccc(*)cc1,14,2.0372,CSc1ccc(S)cc1
*CCOC(=O)CCCCC(=O)O*,15,1.0754,COC(=O)CCCCC(=O)OCCO
*COC(=O)CCCCC(=O)OC*,15,1.0754,CCOC(=O)CCCCC(=O)OCC
*OCCOC(=O)CCCCC(*)=O,15,1.0754,COCCOC(=O)CCCCC(=O)O
*CCCCC(=O)OCCOC(*)=O,15,1.0754,CCCCCC(=O)OCCOC(C)=O
*CCCC(=O)OCCOC(=O)C*,15,1.0754,CCCCC(=O)OCCOC(=O)CC
*CCC(=O)OCCOC(=O)CC*,15,1.0754,CCCC(=O)OCCOC(=O)CCC
*CCOC(=O)CCCCCCC(=O)O*,16,0.8924,COC(=O)CCCCCCC(=O)OCCO
*COC(=O)CCCCCCC(=O)OC*,16,0.8924,CCOC(=O)CCCCCCC(=O)OCC
*OCCOC(=O)CCCCCCC(*)=O,16,0.8924,COCCOC(=O)CCCCCCC(=O)O
*CCCCCCC(=O)OCCOC(*)=O,16,0.8924,CCCCCCCC(=O)OCCOC(C)=O
*CCCCCC(=O)OCCOC(=O)C*,16,0.8924,CCCCCCC(=O)OCCOC(=O)CC
*CCCCC(=O)OCCOC(=O)CC*,16,0.8924,CCCCCC(=O)OCCOC(=O)CCC
*CCCC(=O)OCCOC(=O)CCC*,16,0.8924,CCCCC(=O)OCCOC(=O)CCCC
*CCOC(=O)c1ccc(C(=O)O*)cc1,17,2.2723,COC(=O)c1ccc(C(=O)OCCO)cc1
*COC(=O)c1ccc(C(=O)OC*)cc1,17,2.2723,CCOC(=O)c1ccc(C(=O)OCC)cc1
*OCCOC(=O)c1ccc(C(*)=O)cc1,17,2.2723,COCCOC(=O)c1ccc(C(=O)O)cc1
*C(=O)OCCOC(=O)c1ccc(*)cc1,17,2.2723,CC(=O)OCCOC(=O)c1ccc(C)cc1
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,18,2.4936,COC(=O)c1ccc(C(=O)OCCCCO)cc1
*CCCOC(=O)c1ccc(C(=O)OC*)cc1,18,2.4936,CCCCOC(=O)c1ccc(C(=O)OCC)cc1
*CCOC(=O)c1ccc(C(=O)OCC*)cc1,18,2.4936,CCCOC(=O)c1ccc(C(=O)OCCC)cc1
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,18,2.4936,COCCCCOC(=O)c1ccc(C(=O)O)cc1
*C(=O)OCCCCOC(=O)c1ccc(*)cc1,18,2.4936,CC(=O)OCCCCOC(=O)c1ccc(C)cc1
*CC(=O)O*,19,1.2063,COC(=O)CO
*COC(*)=O,19,1.2063,CCOC(C)=O
*OCC(*)=O,19,1.2063,COCC(=O)O
*CCCCCC(=O)O*,20,0.5062,COC(=O)CCCCCO
*CCCCC(=O)OC*,20,0.5062,CCCCCC(=O)OCC
*CCCC(=O)OCC*,20,0.5062,CCCCC(=O)OCCC
*CCCOC(=O)CC*,20,0.5062,CCCCOC(=O)CCC
*CCCCOC(=O)C*,20,0.5062,CCCCCOC(=O)CC
*CCCCCOC(*)=O,20,0.5062,CCCCCCOC(C)=O
*OCCCCCC(*)=O,20,0.5062,COCCCCCC(=O)O
*CCC(=O)O*,21,0.7562,COC(=O)CCO
*COC(=O)C*,21,0.7562,CCOC(=O)CC
*CCOC(*)=O,21,0.7562,CCCOC(C)=O
*OCCC(*)=O,21,0.7562,COCCC(=O)O
*Oc1ccc(CC(*)=O)cc1,22,1.5033,COc1ccc(CC(=O)O)cc1
*OC(=O)Cc1ccc(*)cc1,22,1.5033,COC(=O)Cc1ccc(O)cc1
*CC(=O)Oc1ccc(*)cc1,22,1.5033,CCC(=O)Oc1ccc(C)cc1
*Cc1ccc(OC(*)=O)cc1,22,1.5033,CCc1ccc(OC(C)=O)cc1
*Cc1ccc(C(=O)O*)cc1,23,2.2574,COC(=O)c1ccc(CO)cc1
*COC(=O)c1ccc(*)cc1,23,2.2574,CCOC(=O)c1ccc(C)cc1
*C(=O)OCc1ccc(*)cc1,23,2.2574,CC(=O)OCc1ccc(C)cc1
*OCc1ccc(C(*)=O)cc1,23,2.2574,COCc1ccc(C(=O)O)cc1
*CCC(=O)N*,24,1.1904,CNC(=O)CCN
*CNC(=O)C*,24,1.1904,CCNC(=O)CC
*CCNC(*)=O,24,1.1904,CCCNC(C)=O
*NCCC(*)=O,24,1.1904,CNCCC(N)=O
*CCCCCCC(=O)N*,25,0.6934,CNC(=O)CCCCCCN
*CCCCCC(=O)NC*,25,0.6934,CCCCCCC(=O)NCC
*CCCCC(=O)NCC*,25,0.6934,CCCCCC(=O)NCCC
*CCCNC(=O)CCC*,25,0.6934,CCCCNC(=O)CCCC
*CCCCNC(=O)CC*,25,0.6934,CCCCCNC(=O)CCC
*CCCCCNC(=O)C*,25,0.6934,CCCCCCNC(=O)CC
*CCCCCCNC(*)=O,25,0.6934,CCCCCCCNC(C)=O
*NCCCCCCC(*)=O,25,0.6934,CNCCCCCCC(N)=O
*CC(=O)N*,26,0.7672,CNC(=O)CN
*CNC(*)=O,26,0.7672,CCNC(C)=O
*NCC(*)=O,26,0.7672,CNCC(N)=O
*Nc1cccc(C(*)=O)c1,27,2.356,CNc1cccc(C(N)=O)c1
*NC(=O)c1cccc(*)c1,27,2.356,CNC(=O)c1cccc(N)c1
*C(=O)Nc1cccc(*)c1,27,2.356,CC(=O)Nc1cccc(C)c1
*Cc1ccc(C(=O)N*)cc1,28,1.8315,CNC(=O)c1ccc(CN)cc1
*CNC(=O)c1ccc(*)cc1,28,1.8315,CCNC(=O)c1ccc(C)cc1
*C(=O)NCc1ccc(*)cc1,28,1.8315,CC(=O)NCc1ccc(C)cc1
*NCc1ccc(C(*)=O)cc1,28,1.8315,CNCc1ccc(C(N)=O)cc1
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,29,0.9199,COC(=O)Nc1cc(NC(=O)OCCCCCO)ccc1C
*CCCCOC(=O)Nc1ccc(C)c(NC(=O)OC*)c1,29,0.9199,CCCCCOC(=O)Nc1ccc(C)c(NC(=O)OCC)c1
*CCCOC(=O)Nc1ccc(C)c(NC(=O)OCC*)c1,29,0.9199,CCCCOC(=O)Nc1ccc(C)c(NC(=O)OCCC)c1
*CCCOC(=O)Nc1cc(NC(=O)OCC*)ccc1C,29,0.9199,CCCCOC(=O)Nc1cc(NC(=O)OCCC)ccc1C
*CCCCOC(=O)Nc1cc(NC(=O)OC*)ccc1C,29,0.9199,CCCCCOC(=O)Nc1cc(NC(=O)OCC)ccc1C
*CCCCCOC(=O)Nc1cc(NC(=O)O*)ccc1C,29,0.9199,COC(=O)Nc1ccc(C)c(NC(=O)OCCCCCO)c1
*OCCCCCOC(=O)Nc1cc(NC(*)=O)ccc1C,29,0.9199,COCCCCCOC(=O)Nc1cc(NC(=O)O)ccc1C
*Nc1ccc(C)c(NC(=O)OCCCCCOC(*)=O)c1,29,0.9199,CNc1ccc(C)c(NC(=O)OCCCCCOC(N)=O)c1
*NC(=O)OCCCCCOC(=O)Nc1cc(*)ccc1C,29,0.9199,CNC(=O)OCCCCCOC(=O)Nc1cc(N)ccc1C
*NC(=O)OCCCCCOC(=O)Nc1ccc(C)c(*)c1,29,0.9199,CNC(=O)OCCCCCOC(=O)Nc1ccc(C)c(N)c1
*Nc1cc(NC(=O)OCCCCCOC(*)=O)ccc1C,29,0.9199,CNc1cc(NC(=O)OCCCCCOC(N)=O)ccc1C
*OCCCCCOC(=O)Nc1ccc(C)c(NC(*)=O)c1,29,0.9199,COCCCCCOC(=O)Nc1ccc(C)c(NC(=O)O)c1
*OC(=O)c1ccc(C(*)=O)cc1,30,3.2451,COC(=O)c1ccc(C(=O)O)cc1
*C(=O)OC(=O)c1ccc(*)cc1,30,3.2451,CC(=O)OC(=O)c1ccc(C)cc1
*Oc1ccc(OC(*)=O)cc1,31,1.4499,COc1ccc(OC(=O)O)cc1
*OC(=O)Oc1ccc(*)cc1,31,1.4499,COC(=O)Oc1ccc(O)cc1
*CCCN*,32,0.5296,CNCCCN
*CCNC*,32,0.5296,CCCNCC
*Oc1ccc(C(=O)c2ccc(*)cc2)cc1,33,2.4594,COc1ccc(C(=O)c2ccc(O)cc2)cc1
*C(=O)c1ccc(Oc2ccc(*)cc2)cc1,33,2.4594,CC(=O)c1ccc(Oc2ccc(C)cc2)cc1
*c1ccc(*)cc1,34,2.6013,Cc1ccc(C)cc1
*CCc1ccc(-c2ccc(*)cc2)cc1,35,1.482,CCCc1ccc(-c2ccc(C)cc2)cc1
*Cc1ccc(-c2ccc(C*)cc2)cc1,35,1.482,CCc1ccc(-c2ccc(CC)cc2)cc1
*c1ccc(CCc2ccc(*)cc2)cc1,35,1.482,Cc1ccc(CCc2ccc(C)cc2)cc1
*OC1C(CO)OC(*)C(O)C1O,36,0.8344,COC1C(CO)OC(O)C(O)C1O
*OC1OC(CO)C(*)C(O)C1O,36,0.8344,COC1OC(CO)C(O)C(O)C1O
*Cc1ccc(CO*)cc1,37,1.6106,COCc1ccc(CO)cc1
*COCc1ccc(*)cc1,37,1.6106,CCOCc1ccc(C)cc1
*CCOCCOC(=O)O*,38,0.4954,COC(=O)OCCOCCO
*COCCOC(=O)OC*,38,0.4954,CCOCCOC(=O)OCC
*CCOC(=O)OCCO*,38,0.4954,COCCOC(=O)OCCO
*OCCOCCOC(*)=O,38,0.4954,COCCOCCOC(=O)O
*CCC(O*)(C(F)(F)F)C(F)(F)F,39,0.4911,COC(CCO)(C(F)(F)F)C(F)(F)F
*COC(C*)(C(F)(F)F)C(F)(F)F,39,0.4911,CCOC(CC)(C(F)(F)F)C(F)(F)F
*CCOC(*)(C(F)(F)F)C(F)(F)F,39,0.4911,CCCOC(C)(C(F)(F)F)C(F)(F)F
*OCCC(*)(C(F)(F)F)C(F)(F)F,39,0.4911,COCCC(O)(C(F)(F)F)C(F)(F)F
*c1ccc(*)s1,40,2.9681,Cc1ccc(C)s1
*Oc1ccc(-c2ccc(C(*)=O)cc2)cc1,41,2.4015,COc1ccc(-c2ccc(C(=O)O)cc2)cc1
*OC(=O)c1ccc(-c2ccc(*)cc2)cc1,41,2.4015,COC(=O)c1ccc(-c2ccc(O)cc2)cc1
*c1ccc(OC(=O)c2ccc(*)cc2)cc1,41,2.4015,Cc1ccc(OC(=O)c2ccc(C)cc2)cc1
*C(=O)Oc1ccc(-c2ccc(*)cc2)cc1,41,2.4015,CC(=O)Oc1ccc(-c2ccc(C)cc2)cc1
*Nc1ccc(*)cc1,42,0.9827,CNc1ccc(N)cc1
*c1cccc(*)n1,43,2.2143,Cc1cccc(C)n1
*CC(CC(CC(CC(*)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,44,1.5606,CCC(CC(CC(CC(C)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1
*c1ccc(-c2ccc(*)s2)s1,45,2.9681,Cc1ccc(-c2ccc(C)s2)s1
*c1ccc2oc(-c3ccc4nc(*)oc4c3)nc2c1,46,3.155,Cc1ccc2oc(-c3ccc4nc(C)oc4c3)nc2c1
*c1ccc2nc(-c3ccc4oc(*)nc4c3)oc2c1,46,3.155,Cc1ccc2nc(-c3ccc4oc(C)nc4c3)oc2c1
*Cc1ccc(C*)cc1,47,0.8499,CCc1ccc(CC)cc1
*CCc1ccc(*)cc1,47,0.8499,CCCc1ccc(C)cc1
*CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(*)=O,48,0.7602,CCCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(C)=O
*CCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)C*,48,0.7602,CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)CC
*CCC(=O)OCCCCCCCCC(=O)OCCCC(=O)OCCCCCCCCC(=O)OC*,48,0.7602,CCCC(=O)OCCCCCCCCC(=O)OCCCC(=O)OCCCCCCCCC(=O)OCC
*CCCC(=O)OCCCCCCCCC(=O)OCCCC(=O)OCCCCCCCCC(=O)O*,48,0.7602,COC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)CCCO
*OCCCC(=O)OCCCCCCCCC(=O)OCCCC(=O)OCCCCCCCCC(*)=O,48,0.7602,COCCCC(=O)OCCCCCCCCC(=O)OCCCC(=O)OCCCCCCCCC(=O)O
*CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)CCCOC(*)=O,48,0.7602,CCCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)CCCOC(C)=O
*CCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)C*,48,0.7602,CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CC
*CCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CC*,48,0.7602,CCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCC
*CCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCC*,48,0.7602,CCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCC
*CCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCC*,48,0.7602,CCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCC
*CCCCCC(=O)OCCCC(=O)OCCCCCCCCC(=O)OCCCC(=O)OCCC*,48,0.7602,CCCCCCC(=O)OCCCC(=O)OCCCCCCCCC(=O)OCCCC(=O)OCCCC
*CCCCCCC(=O)OCCCC(=O)OCCCCCCCCC(=O)OCCCC(=O)OCC*,48,0.7602,CCCCCCCC(=O)OCCCC(=O)OCCCCCCCCC(=O)OCCCC(=O)OCCC
*CCCCCCCC(=O)OCCCC(=O)OCCCCCCCCC(=O)OCCCC(=O)OC*,48,0.7602,CCCCCCCCC(=O)OCCCC(=O)OCCCCCCCCC(=O)OCCCC(=O)OCC
*CCCCCCCCC(=O)OCCCC(=O)OCCCCCCCCC(=O)OCCCC(=O)O*,48,0.7602,COC(=O)CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCO
*OCCCCCCCCC(=O)OCCCC(=O)OCCCCCCCCC(=O)OCCCC(*)=O,48,0.7602,COCCCCCCCCC(=O)OCCCC(=O)OCCCCCCCCC(=O)OCCCC(=O)O
*CC(CC(CC(*)c1ccccn1)c1ccccn1)c1ccccn1,49,1.1922,CCC(CC(CC(C)c1ccccn1)c1ccccn1)c1ccccn1
*C(=S)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,50,3.9365,CC(=S)c1ccc(-c2ccc(-c3ccc(C)s3)s2)s1
*c1ccc(C(=S)c2ccc(-c3ccc(*)s3)s2)s1,50,3.9365,Cc1ccc(C(=S)c2ccc(-c3ccc(C)s3)s2)s1
*Oc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,51,2.4093,COc1ccc(-c2ccc(-c3ccc(O)s3)s2)s1
*c1ccc(Oc2ccc(-c3ccc(*)s3)s2)s1,51,2.4093,Cc1ccc(Oc2ccc(-c3ccc(C)s3)s2)s1
*C(=S)Oc1ccc(-c2ccc(*)s2)s1,52,3.2944,CC(=S)Oc1ccc(-c2ccc(C)s2)s1
*Oc1ccc(-c2ccc(C(*)=S)s2)s1,52,3.2944,COc1ccc(-c2ccc(C(O)=S)s2)s1
*OC(=S)c1ccc(-c2ccc(*)s2)s1,52,3.2944,COC(=S)c1ccc(-c2ccc(O)s2)s1
*c1ccc(OC(=S)c2ccc(*)s2)s1,52,3.2944,Cc1ccc(OC(=S)c2ccc(C)s2)s1
*Oc1ccc(C(=S)c2ccc(*)s2)s1,53,3.4574,COc1ccc(C(=S)c2ccc(O)s2)s1
*C(=S)c1ccc(Oc2ccc(*)s2)s1,53,3.4574,CC(=S)c1ccc(Oc2ccc(C)s2)s1
*C(=S)OC(=S)c1ccc(*)s1,54,4.0075,CC(=S)OC(=S)c1ccc(C)s1
*OC(=S)c1ccc(C(*)=S)s1,54,4.0075,COC(=S)c1ccc(C(O)=S)s1
*Oc1ccc(Oc2ccc(*)s2)s1,55,1.3443,COc1ccc(Oc2ccc(O)s2)s1
*OC(=S)Oc1ccc(*)s1,56,2.5249,COC(=S)Oc1ccc(O)s1
*Oc1ccc(OC(*)=S)s1,56,2.5249,COc1ccc(OC(O)=S)s1
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)s2)cc1,57,2.752,Cc1ccc(-c2ccc(-c3ccc(-c4ccc(C)s4)s3)s2)cc1
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)cc2)s1,57,2.752,Cc1ccc(-c2ccc(-c3ccc(-c4ccc(C)s4)s3)cc2)s1
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,58,1.7103,COc1ccc(-c2ccc(-c3ccc(O)cc3)s2)s1
*Oc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,58,1.7103,COc1ccc(-c2ccc(-c3ccc(O)s3)s2)cc1
*c1ccc(Oc2ccc(-c3ccc(*)s3)cc2)s1,58,1.7103,Cc1ccc(Oc2ccc(-c3ccc(C)s3)cc2)s1
*c1ccc(Oc2ccc(-c3ccc(*)s3)s2)cc1,58,1.7103,Cc1ccc(Oc2ccc(-c3ccc(C)s3)s2)cc1
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)s2)cc1,59,2.3385,Cc1ccc(-c2ccc(-c3ccc(-c4ccc(C)s4)cc3)s2)cc1
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,60,3.3503,CC(=S)c1ccc(-c2ccc(-c3ccc(C)cc3)s2)cc1
*c1ccc(C(=S)c2ccc(-c3ccc(*)s3)cc2)cc1,60,3.3503,Cc1ccc(C(=S)c2ccc(-c3ccc(C)s3)cc2)cc1
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,61,1.8588,COc1ccc(-c2ccc(-c3ccc(O)cc3)s2)cc1
*c1ccc(Oc2ccc(-c3ccc(*)s3)cc2)cc1,61,1.8588,Cc1ccc(Oc2ccc(-c3ccc(C)s3)cc2)cc1
*c1ccc(-c2ccc(C(=S)c3ccc(*)s3)s2)cc1,62,3.6267,Cc1ccc(-c2ccc(C(=S)c3ccc(C)s3)s2)cc1
*C(=S)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,62,3.6267,CC(=S)c1ccc(-c2ccc(-c3ccc(C)s3)cc2)s1
*c1ccc(-c2ccc(Oc3ccc(*)s3)s2)cc1,63,2.1082,Cc1ccc(-c2ccc(Oc3ccc(C)s3)s2)cc1
*Oc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,63,2.1082,COc1ccc(-c2ccc(-c3ccc(O)s3)cc2)s1
*C(=S)Oc1ccc(-c2ccc(*)cc2)s1,64,2.8418,CC(=S)Oc1ccc(-c2ccc(C)cc2)s1
*Oc1ccc(-c2ccc(C(*)=S)cc2)s1,64,2.8418,COc1ccc(-c2ccc(C(O)=S)cc2)s1
*OC(=S)c1ccc(-c2ccc(*)s2)cc1,64,2.8418,COC(=S)c1ccc(-c2ccc(O)s2)cc1
*c1ccc(C(=S)Oc2ccc(*)s2)cc1,64,2.8418,Cc1ccc(C(=S)Oc2ccc(C)s2)cc1
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,65,1.897,COc1ccc(-c2ccc(-c3ccc(O)cc3)cc2)s1
*Oc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,65,1.897,COc1ccc(-c2ccc(-c3ccc(O)s3)cc2)cc1
*c1ccc(-c2ccc(Oc3ccc(*)s3)cc2)cc1,65,1.897,Cc1ccc(-c2ccc(Oc3ccc(C)s3)cc2)cc1
*c1ccc(Oc2ccc(-c3ccc(*)cc3)s2)cc1,65,1.897,Cc1ccc(Oc2ccc(-c3ccc(C)cc3)s2)cc1
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)cc2)cc1,66,2.2963,Cc1ccc(-c2ccc(-c3ccc(-c4ccc(C)s4)cc3)cc2)cc1
